timestamp,ticker,current_price,day_high,day_low,volume,market_cap
2026-04-15 15:43:00+00:00,TSLA,393.9100036621094,394.1300048828125,362.5,624617.0,1470765761934.8545
2026-04-15 15:44:00+00:00,TSLA,392.3699951171875,394.1300048828125,362.5,843669.0,1470765761934.8545
2026-04-15 15:45:00+00:00,TSLA,392.2200012207031,394.1300048828125,362.5,498319.0,1470765761934.8545
2026-04-15 15:46:00+00:00,TSLA,391.46990966796875,394.1300048828125,362.5,449553.0,1470765761934.8545
2026-04-15 15:47:00+00:00,TSLA,391.92999267578125,394.1300048828125,362.5,342482.0,1470765761934.8545
2026-04-15 15:48:00+00:00,TSLA,392.864990234375,394.1300048828125,362.5,353358.0,1470765761934.8545
2026-04-15 15:49:00+00:00,TSLA,393.252685546875,394.1300048828125,362.5,335443.0,1470765761934.8545
2026-04-15 15:50:00+00:00,TSLA,392.4200134277344,394.1300048828125,362.5,468303.0,1470765761934.8545
2026-04-15 15:51:00+00:00,TSLA,392.0299987792969,394.1300048828125,362.5,385495.0,1470765761934.8545
2026-04-15 15:52:00+00:00,TSLA,391.94000244140625,394.1300048828125,362.5,241191.0,1470765761934.8545
2026-04-15 15:53:00+00:00,TSLA,390.9700012207031,394.1300048828125,362.5,381997.0,1470765761934.8545
2026-04-15 15:54:00+00:00,TSLA,390.7749938964844,394.1300048828125,362.5,452279.0,1470765761934.8545
2026-04-15 15:55:00+00:00,TSLA,390.1400146484375,394.1300048828125,362.5,423450.0,1470765761934.8545
2026-04-15 15:56:00+00:00,TSLA,390.010009765625,394.1300048828125,362.5,513465.0,1470765761934.8545
2026-04-15 15:57:00+00:00,TSLA,390.32000732421875,394.1300048828125,362.5,361243.0,1470765761934.8545
2026-04-15 15:58:00+00:00,TSLA,391.375,394.1300048828125,362.5,379029.0,1470765761934.8545
2026-04-15 15:59:00+00:00,TSLA,391.8450012207031,394.1300048828125,362.5,366584.0,1470765761934.8545
2026-04-15 16:00:00+00:00,TSLA,391.8399963378906,394.1300048828125,362.5,376085.0,1470765761934.8545
2026-04-15 16:01:00+00:00,TSLA,391.2449951171875,394.1300048828125,362.5,312901.0,1470765761934.8545
2026-04-15 16:02:00+00:00,TSLA,391.2699890136719,394.1300048828125,362.5,264217.0,1470765761934.8545
2026-04-15 16:03:00+00:00,TSLA,391.21038818359375,394.1300048828125,362.5,219904.0,1470765761934.8545
2026-04-15 16:04:00+00:00,TSLA,390.8599853515625,394.1300048828125,362.5,213807.0,1470765761934.8545
2026-04-15 16:05:00+00:00,TSLA,390.4649963378906,394.1300048828125,362.5,258386.0,1470765761934.8545
2026-04-15 16:06:00+00:00,TSLA,390.9501037597656,394.1300048828125,362.5,227271.0,1470765761934.8545
2026-04-15 16:07:00+00:00,TSLA,391.51251220703125,394.1300048828125,362.5,244058.0,1470765761934.8545
2026-04-15 16:08:00+00:00,TSLA,391.30169677734375,394.1300048828125,362.5,152785.0,1470765761934.8545
2026-04-15 16:09:00+00:00,TSLA,390.55999755859375,394.1300048828125,362.5,240491.0,1470765761934.8545
2026-04-15 16:10:00+00:00,TSLA,390.9200134277344,394.1300048828125,362.5,215393.0,1470765761934.8545
2026-04-15 16:11:00+00:00,TSLA,390.7286071777344,394.1300048828125,362.5,169797.0,1470765761934.8545
2026-04-15 16:12:00+00:00,TSLA,391.1400146484375,394.1300048828125,362.5,215417.0,1470765761934.8545
2026-04-15 16:13:00+00:00,TSLA,390.91839599609375,394.1300048828125,362.5,154342.0,1470765761934.8545
2026-04-15 16:14:00+00:00,TSLA,390.81500244140625,394.1300048828125,362.5,149672.0,1470765761934.8545
2026-04-15 16:15:00+00:00,TSLA,391.239990234375,394.1300048828125,362.5,244967.0,1470765761934.8545
2026-04-15 16:16:00+00:00,TSLA,391.4100036621094,394.1300048828125,362.5,295487.0,1470765761934.8545
2026-04-15 16:17:00+00:00,TSLA,391.5849914550781,394.1300048828125,362.5,220849.0,1470765761934.8545
2026-04-15 16:18:00+00:00,TSLA,391.69500732421875,394.1300048828125,362.5,194999.0,1470765761934.8545
2026-04-15 16:19:00+00:00,TSLA,391.489990234375,394.1300048828125,362.5,227233.0,1470765761934.8545
2026-04-15 16:20:00+00:00,TSLA,392.2391052246094,394.1300048828125,362.5,225484.0,1470765761934.8545
2026-04-15 16:21:00+00:00,TSLA,392.6499938964844,394.1300048828125,362.5,357270.0,1470765761934.8545
2026-04-15 16:22:00+00:00,TSLA,393.58990478515625,394.1300048828125,362.5,491185.0,1470765761934.8545
2026-04-15 16:23:00+00:00,TSLA,394.1050109863281,394.4798889160156,362.5,471983.0,1470765761934.8545
2026-04-15 16:24:00+00:00,TSLA,393.81500244140625,394.4798889160156,362.5,235379.0,1470765761934.8545
2026-04-15 16:25:00+00:00,TSLA,393.17999267578125,394.4798889160156,362.5,251304.0,1470765761934.8545
2026-04-15 16:26:00+00:00,TSLA,393.125,394.4798889160156,362.5,267972.0,1470765761934.8545
2026-04-15 16:27:00+00:00,TSLA,393.9494934082031,394.4798889160156,362.5,240659.0,1470765761934.8545
2026-04-15 16:28:00+00:00,TSLA,393.95001220703125,394.4798889160156,362.5,308658.0,1470765761934.8545
2026-04-15 16:29:00+00:00,TSLA,392.9599914550781,394.4798889160156,362.5,270587.0,1470765761934.8545
2026-04-15 16:30:00+00:00,TSLA,391.7699890136719,394.4798889160156,362.5,310612.0,1470765761934.8545
2026-04-15 16:31:00+00:00,TSLA,391.69329833984375,394.4798889160156,362.5,325405.0,1470765761934.8545
2026-04-15 16:32:00+00:00,TSLA,391.70001220703125,394.4798889160156,362.5,238502.0,1470765761934.8545
